model,forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,true_value,error,absolute_error,squared_error
mean_context,relative_return,7,3,97,2024-11-22T00:00:00,0.00827306043356657,-0.03441941738128662,0.042692478746175766,0.042692478746175766,0.0018226477414926695
mean_context,relative_return,7,4,98,2024-11-25T00:00:00,0.011045929044485092,-0.07475674152374268,0.08580267429351807,0.08580267429351807,0.007362098915919546
mean_context,relative_return,7,5,99,2024-11-26T00:00:00,0.013826423324644566,-0.0686347484588623,0.0824611708521843,0.0824611708521843,0.006799844698313129
mean_context,relative_return,8,1,100,2024-11-27T00:00:00,0.004646557383239269,-0.011539578437805176,0.01618613675236702,0.01618613675236702,0.00026199102296632637
mean_context,relative_return,8,2,101,2024-11-29T00:00:00,0.009314704686403275,0.00971376895904541,-0.0003990642726421356,0.0003990642726421356,1.5925229369939675e-07
mean_context,relative_return,8,3,102,2024-12-02T00:00:00,0.014004543423652649,0.012489080429077148,0.0015154629945755005,0.0015154629945755005,2.2966280879277434e-06
mean_context,relative_return,8,4,103,2024-12-03T00:00:00,0.018716173246502876,0.024393796920776367,-0.005677623674273491,0.005677623674273491,3.2235410586670815e-05
mean_context,relative_return,8,5,104,2024-12-04T00:00:00,0.023449696600437164,0.060035109519958496,-0.03658541291952133,0.03658541291952133,0.0013384924384918784
mean_context,relative_return,9,1,105,2024-12-05T00:00:00,0.003943059127777815,-0.0005512237548828125,0.004494282882660627,0.004494282882660627,2.019857862937632e-05
mean_context,relative_return,9,2,106,2024-12-06T00:00:00,0.007901666685938835,-0.018602728843688965,0.0265043955296278,0.0265043955296278,0.0007024829823909541
mean_context,relative_return,9,3,107,2024-12-09T00:00:00,0.011875882744789124,-0.04361307621002197,0.055488958954811096,0.055488958954811096,0.0030790245658887105
mean_context,relative_return,9,4,108,2024-12-10T00:00:00,0.015865769237279892,-0.0693812370300293,0.08524700999259949,0.08524700999259949,0.007267052712678357
mean_context,relative_return,9,5,109,2024-12-11T00:00:00,0.019871387630701065,-0.04016810655593872,0.060039494186639786,0.060039494186639786,0.0036047408621875526
mean_context,relative_return,10,1,110,2024-12-12T00:00:00,0.0037818276323378086,-0.01414114236831665,0.01792296953499317,0.01792296953499317,0.00032123283695229335
mean_context,relative_return,10,2,111,2024-12-13T00:00:00,0.007577957585453987,-0.03632187843322754,0.04389983415603638,0.04389983415603638,0.0019271954389274981
mean_context,relative_return,10,3,112,2024-12-16T00:00:00,0.011388443410396576,-0.05247288942337036,0.06386133283376694,0.06386133283376694,0.004078269831305159
mean_context,relative_return,10,4,113,2024-12-17T00:00:00,0.015213340520858765,-0.06402987241744995,0.07924321293830872,0.07924321293830872,0.006279486796786138
mean_context,relative_return,10,5,114,2024-12-18T00:00:00,0.01905270293354988,-0.07465362548828125,0.09370632469654083,0.09370632469654083,0.008780875288133538
mean_context,relative_return,11,1,115,2024-12-19T00:00:00,0.0009935073321685195,0.013730406761169434,-0.01273689977824688,0.01273689977824688,0.0001622286159611054
mean_context,relative_return,11,2,116,2024-12-20T00:00:00,0.0019880016334354877,0.044914960861206055,-0.042926959693431854,0.042926959693431854,0.001842723868521523
mean_context,relative_return,11,3,117,2024-12-23T00:00:00,0.002983483951538801,0.08346903324127197,-0.08048555254936218,0.08048555254936218,0.006477924169176141
mean_context,relative_return,11,4,118,2024-12-24T00:00:00,0.003979955334216356,0.08773565292358398,-0.08375569432973862,0.08375569432973862,0.0070150163326566095
mean_context,relative_return,11,5,119,2024-12-26T00:00:00,0.004977416712790728,0.08548593521118164,-0.0805085152387619,0.0805085152387619,0.006481621025949957
