model,rolling_step,horizon_step,target_index,predicted_value,locked
previous_patch,1,4,4,-0.014999568462371826,True
previous_patch,1,5,5,0.14034342765808105,True
previous_patch,2,1,2,-0.2580106258392334,True
previous_patch,2,2,3,0.02767467498779297,True
previous_patch,2,3,4,-0.20075535774230957,True
previous_patch,2,4,5,-0.05252230167388916,True
previous_patch,2,5,6,-0.06388062983751297,True
previous_patch,3,1,3,-0.18109101057052612,True
previous_patch,3,2,4,-0.027276694774627686,True
previous_patch,3,3,5,-0.21155047416687012,True
previous_patch,3,4,6,-0.08511620759963989,True
previous_patch,3,5,7,0.07008461654186249,True
previous_patch,4,1,4,-0.2216739058494568,True
previous_patch,4,2,5,0.006329894065856934,True
previous_patch,4,3,6,-0.21685177087783813,True
previous_patch,4,4,7,-0.11711490154266357,True
previous_patch,4,5,8,0.3893510103225708,True
previous_patch,5,1,5,-0.1451115608215332,True
previous_patch,5,2,6,0.013079047203063965,True
previous_patch,5,3,7,-0.1993892788887024,True
previous_patch,5,4,8,-0.13980716466903687,True
previous_patch,5,5,9,0.3527369201183319,True
previous_patch,6,1,6,-0.1776103377342224,True
previous_patch,6,2,7,0.08217024803161621,True
previous_patch,6,3,8,-0.14682739973068237,True
previous_patch,6,4,9,-0.15699619054794312,True
previous_patch,6,5,10,-0.2340834140777588,True
previous_patch,7,1,7,-0.05953657627105713,True
previous_patch,7,2,8,0.025040507316589355,True
previous_patch,7,3,9,-0.12826484441757202,True
previous_patch,7,4,10,-0.16533935070037842,True
previous_patch,7,5,11,0.2124277502298355,True
previous_patch,8,1,8,-0.014773190021514893,True
previous_patch,8,2,9,0.022886276245117188,True
previous_patch,8,3,10,-0.07832717895507812,True
previous_patch,8,4,11,-0.15735071897506714,True
previous_patch,8,5,12,0.2399575561285019,True
previous_patch,9,1,9,0.04205334186553955,True
previous_patch,9,2,10,-0.006649494171142578,True
previous_patch,9,3,11,-0.011163949966430664,True
previous_patch,9,4,12,-0.14443767070770264,True
previous_patch,9,5,13,0.5709370374679565,True
previous_patch,10,1,10,0.043892502784729004,True
previous_patch,10,2,11,0.0017833709716796875,True
previous_patch,10,3,12,0.013431310653686523,True
previous_patch,10,4,13,-0.1310434341430664,True
previous_patch,10,5,14,0.2582261264324188,True
previous_patch,11,1,11,0.02419126033782959,True
previous_patch,11,2,12,0.013724684715270996,True
previous_patch,11,3,13,0.040433526039123535,True
previous_patch,11,4,14,-0.10879635810852051,True
previous_patch,11,5,15,-0.07844305783510208,True
previous_patch,12,1,12,0.0557023286819458,True
previous_patch,12,2,13,0.060257554054260254,True
previous_patch,12,3,14,0.07207083702087402,True
previous_patch,12,4,15,-0.0789179801940918,True
previous_patch,12,5,16,0.3040430247783661,True
previous_patch,13,1,13,0.2161959409713745,True
previous_patch,13,2,14,0.04262340068817139,True
previous_patch,13,3,15,0.11124670505523682,True
previous_patch,13,4,16,-0.04665112495422363,True
previous_patch,13,5,17,-0.02822655811905861,True
previous_patch,14,1,14,0.11898159980773926,True
previous_patch,14,2,15,0.01756572723388672,True
previous_patch,14,3,16,0.12835347652435303,True
previous_patch,14,4,17,-0.00911778211593628,True
previous_patch,14,5,18,-0.26384851336479187,True
previous_patch,15,1,15,0.15907931327819824,True
previous_patch,15,2,16,0.0073015689849853516,True
previous_patch,15,3,17,0.14140784740447998,True
previous_patch,15,4,18,0.02467358112335205,True
previous_patch,15,5,19,0.4459340274333954,True
previous_patch,16,1,16,0.18807876110076904,True
previous_patch,16,2,17,0.01057887077331543,True
previous_patch,16,3,18,0.15386807918548584,True
previous_patch,16,4,19,0.05398118495941162,True
previous_patch,16,5,20,-0.12130959331989288,True
previous_patch,17,1,17,0.2658376693725586,True
previous_patch,17,2,18,-0.061889588832855225,True
previous_patch,17,3,19,0.16610205173492432,True
previous_patch,17,4,20,0.08761751651763916,True
previous_patch,17,5,21,-0.4846353828907013,True
previous_patch,18,1,18,0.1734907627105713,True
previous_patch,18,2,19,-0.017735302448272705,True
previous_patch,18,3,20,0.202905535697937,True
previous_patch,18,4,21,0.11272037029266357,True
previous_patch,18,5,22,-0.08541366457939148,True
previous_patch,19,1,19,0.18564045429229736,True
previous_patch,19,2,20,-0.05695444345474243,True
previous_patch,19,3,21,0.20335602760314941,True
previous_patch,19,4,22,0.13216567039489746,True
previous_patch,19,5,23,0.05605388432741165,True
previous_patch,20,1,20,0.18114006519317627,True
previous_patch,20,2,21,-0.028920650482177734,True
previous_patch,20,3,22,0.18579840660095215,True
previous_patch,20,4,23,0.14882385730743408,True
previous_patch,20,5,24,-0.1692298948764801,True
previous_patch,21,1,21,0.2317296266555786,True
previous_patch,21,2,22,-0.0063059329986572266,True
previous_patch,21,3,23,0.19121861457824707,True
previous_patch,21,4,24,0.16359853744506836,True
previous_patch,21,5,25,0.3900951147079468,True
previous_patch,22,1,22,0.19788670539855957,True
previous_patch,22,2,23,0.030625224113464355,True
previous_patch,22,3,24,0.19257378578186035,True
previous_patch,22,4,25,0.17353951930999756,True
previous_patch,22,5,26,-0.0933915302157402,True
previous_patch,23,1,23,0.4305133819580078,True
previous_patch,23,2,24,-0.04966115951538086,True
previous_patch,23,3,25,0.2646104097366333,True
previous_patch,23,4,26,0.194868803024292,True
previous_patch,23,5,27,0.12800386548042297,True
previous_patch,24,1,24,0.4103325605392456,True
previous_patch,24,2,25,-0.061057209968566895,True
previous_patch,24,3,26,0.38552606105804443,True
previous_patch,24,4,27,0.22581994533538818,True
previous_patch,24,5,28,0.3197838068008423,True
previous_patch,25,1,25,0.4211534261703491,True
previous_patch,25,2,26,-0.010718286037445068,True
previous_patch,25,3,27,0.421362042427063,True
previous_patch,25,4,28,0.25148701667785645,True
previous_patch,25,5,29,0.19542604684829712,True
previous_patch,26,1,26,0.33225762844085693,True
previous_patch,26,2,27,0.004227876663208008,True
previous_patch,26,3,28,0.3939567804336548,True
previous_patch,26,4,29,0.2741975784301758,True
previous_patch,26,5,30,0.43941348791122437,True
previous_patch,27,1,27,0.2928590774536133,True
previous_patch,27,2,28,-0.03407013416290283,True
previous_patch,27,3,29,0.3520529270172119,True
previous_patch,27,4,30,0.28858768939971924,True
